S-Fe mol,Pollutant Con,S-nZVI Con,Temp,pH,SMILES,Kob
0.2,20,0.5,30,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.158
0.0632,3,0.5,30,9,C(Cl)(Cl)(Cl)Cl,1.296
0.05,50,1,25,6,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],1.296
0.1,19.077,2,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.9
0.2,19.077,2,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.9
0.188,10.5112,2,26,6.3,C(=C(Cl)Cl)Cl,0.9
0.0632,3,0.5,30,7,C(Cl)(Cl)(Cl)Cl,1.206
0.2,14.4518,2,26,7,C(=C(Cl)Cl)Cl,0.94
0.02,14.4518,2,22,7,C(=C(Cl)Cl)Cl,0.193
0.0632,3,0.5,30,6,C(Cl)(Cl)(Cl)Cl,1.116
0.14,0.28,1,25,5,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.7875
0.24,20,2.3,25,7,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.305
0.5,20,1.2,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.0062
0.3,20,1.2,25,8,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.0547
0.2,20,0.5,10,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.025
0.05,50,0.75,25,6,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],1.182
0.05,50,0.5,25,6,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],1.044
0.2,20,1.2,25,6,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br ,0.01537
0.188,10.5112,2,26,8,C(=C(Cl)Cl)Cl,1.17
